event_id,nse,rmse,peak_mag_err_m,peak_time_err_h,obs_peak_m,sim_peak_m,model,horizon_h
234,0.4107023615904013,0.0290803379233999,0.15265200000000004,0.16666666666666666,0.230449,0.383101,persistence,1
235,0.46594435800379985,0.013601018928118618,0.040875999999999996,0.0,0.122832,0.163708,persistence,1
236,-0.3341146446619043,0.06125699557961667,0.0,1.0,0.194238,0.194238,persistence,1
237,0.04349140802798801,0.02006643354737759,0.0,1.0,0.110254,0.110254,persistence,1
238,-1.516631190093741,0.018973491593536493,0.010649999999999996,0.3333333333333333,0.026849,0.037499,persistence,1
239,0.45760627619983374,0.010055913963253844,0.0,1.0,0.045461,0.045461,persistence,1
240,-0.026352713264644834,0.045902723349513376,0.0,1.0,0.195861,0.195861,persistence,1
241,-0.08587559953863289,0.01359600677977014,0.002921,0.16666666666666666,0.041515,0.044436,persistence,1
242,-0.0746079629217904,0.06343004882760794,0.0,1.0,0.27731,0.27731,persistence,1
243,-0.9017279139714334,0.02340662072698968,0.008825,0.6666666666666666,0.042377,0.051202,persistence,1
244,0.057840520374963456,0.07107899832517739,0.0,1.0,0.292017,0.292017,persistence,1
245,0.31256157353285074,0.03435292570531441,0.0,1.0,0.231058,0.231058,persistence,1
246,-0.0715658602629905,0.05742674683807055,0.0,1.0,0.27376,0.27376,persistence,1
247,0.33421527891537994,0.009744254688739636,0.025377999999999998,0.16666666666666666,0.0362,0.061578,persistence,1
248,0.15358826634986356,0.03859370316301237,0.0,1.0,0.165432,0.165432,persistence,1
249,0.3102146707901776,0.007739264288892926,0.0,1.0,0.053616,0.053616,persistence,1
250,0.2953273443813147,0.00795488787731323,0.0001419999999999963,0.8333333333333334,0.034324,0.034466,persistence,1
251,0.3572524968837232,0.012325134251804318,0.0,1.0,0.056598,0.056598,persistence,1
252,0.6655856362581392,0.008657344796628516,0.0013190000000000007,-0.16666666666666666,0.057125,0.058444,persistence,1
253,0.6173349216984355,0.007685386113267178,0.008053999999999999,-8.333333333333334,0.052875,0.060929,persistence,1
254,0.3521119755868336,0.029917671727592705,0.0,1.0,0.165027,0.165027,persistence,1
255,0.9795727631278012,0.004888788239404061,0.0,1.0,0.143828,0.143828,persistence,1
256,0.9774061436153706,0.03699198230356123,0.0,1.0,0.915913,0.915913,persistence,1
257,0.2095984875821837,0.026845562903000327,0.0,1.0,0.158637,0.158637,persistence,1
258,0.977491195012474,0.11227915449534069,0.0,1.0,2.674709,2.674709,persistence,1
259,0.4466907745321772,0.009091869248019184,0.00047699999999999826,0.5,0.044629,0.045106,persistence,1
260,0.4099250976908613,0.013102325834969694,0.00068,0.8333333333333334,0.05323,0.05391,persistence,1
261,0.45265537586017535,0.011149692092847503,0.004036999999999999,-0.8333333333333334,0.055959,0.059996,persistence,1
262,-0.06636765505008002,0.011340911100564588,0.0,1.0,0.039385,0.039385,persistence,1
263,0.1832329435230341,0.01865357324193699,0.006257999999999993,0.6666666666666666,0.058444,0.064702,persistence,1
264,-0.631847964247582,0.03297955205763228,0.0,1.0,0.13267,0.13267,persistence,1
265,0.335967034372432,0.01521548727149712,0.0,1.0,0.062937,0.062937,persistence,1
266,0.08467289025378044,0.01877770829038754,0.0021100000000000008,0.8333333333333334,0.06596,0.06807,persistence,1
267,0.1357421092860056,0.08185292510323837,0.0,1.0,0.50573,0.50573,persistence,1
268,0.020507495337236614,0.05247763365183904,0.0,1.0,0.290698,0.290698,persistence,1
269,-1.6040214009739442,0.14426078347047797,0.265239,0.6666666666666666,0.371031,0.63627,persistence,1
270,0.3537743627880221,0.06699981761158982,0.0,1.0,0.298407,0.298407,persistence,1
271,0.36476077193772405,0.012393855926361429,0.0,1.0,0.052855,0.052855,persistence,1
272,0.22574487309168567,0.02228177514280911,0.0,1.0,0.138553,0.138553,persistence,1
