model,horizon_h,split,n,nse,kge,rmse,mae,pbias,peak_mag_err_m,peak_time_err_h,pod@0.5m,far@0.5m,csi@0.5m,pod@1.0m,far@1.0m,csi@1.0m
persistence,1,train,325043,0.9833077552962387,0.9916538776481194,0.021878296946401057,0.002549827953664153,5.4761651641161376e-18,0.0,1.0,0.9785767313606957,0.021423268639304275,0.9580521233516769,0.9633629001156961,0.03663709988430389,0.9293154761904762
persistence,1,validation,78624,0.9940882142552673,0.9970441071276345,0.011577674733431569,0.001560267016372076,4.907217288676064e-17,0.0,1.0,0.9881628787878788,0.011837121212121212,0.9766027140851661,0.9712460063897763,0.02875399361022364,0.9440993788819876
persistence,1,test,210528,0.9884151691632638,0.9942073886405596,0.012144044341522262,0.001771084537606535,-0.004784129529876196,0.0,1.0,0.9865012769062386,0.0134987230937614,0.9733621310295176,0.9739696312364425,0.026030368763557483,0.9492600422832981
persistence,6,train,325043,0.9175743927255,0.9587871963627492,0.04861689505734573,0.009682285812109153,3.6943746694792093e-16,0.0,6.0,0.9161098737936154,0.08389012620638456,0.8452054794520548,0.8619359814886233,0.13806401851137678,0.7573703829210437
persistence,6,validation,78624,0.9710313317266493,0.9855156658633255,0.02562868165339667,0.005279766765963864,1.0018901964380297e-16,0.0,6.0,0.9455492424242424,0.054450757575757576,0.896722047597665,0.8274760383386581,0.17252396166134185,0.7057220708446866
persistence,6,test,210528,0.911380965429845,0.9556897683479622,0.033587774183239764,0.006577762789772225,-0.026745605045174876,0.0,6.0,0.9398029916089019,0.060197008391098136,0.8864418444597385,0.8915401301518439,0.10845986984815618,0.8043052837573386
persistence,24,train,325043,0.7095930627576115,0.8547965313788327,0.09125562302675111,0.02423913694839594,1.1898287965168965e-16,0.0,24.0,0.746844840386043,0.25315515961395696,0.5959715639810427,0.5993058233706132,0.40069417662938683,0.42786343612334804
persistence,24,validation,78624,0.8474865688128177,0.9237432844064104,0.05880524275326513,0.013665500216976033,4.539175992025358e-16,0.0,24.0,0.7930871212121212,0.20691287878787878,0.6571204393879952,0.4744408945686901,0.5255591054313099,0.31099476439790574
persistence,24,test,210528,0.5629274744899746,0.7814575343794108,0.07459306861042726,0.012479932974475976,-0.14297856381729793,0.0,24.0,0.8241517694272164,0.17584823057278365,0.7008997828110456,0.6572668112798264,0.34273318872017355,0.4894991922455573
ridge,1,train,325049,0.9935424693211254,0.9953540074978683,0.01360773066712285,0.003294490663813761,5.729025655228856e-14,0.48720149360596654,-0.3333333333333333,0.9852582458373105,0.01786658209113014,0.967909981246093,0.9760894716544543,0.0376425855513308,0.9401931649331352
ridge,1,validation,78624,0.9806112268123804,0.9657140150566738,0.02096704205810827,0.004619822162567362,0.9655693949579692,0.17398619978213592,128.83333333333334,0.9559659090909091,0.012713936430317848,0.9443405051449953,0.6837060702875399,0.0735930735930736,0.6484848484848484
ridge,1,test,210528,0.9871838240644204,0.9565764836949922,0.012773141589345442,0.003293789607137048,4.185259211532276,0.13316017735029728,4.833333333333333,0.9886902590295512,0.025530384753685725,0.9637268847795164,0.982646420824295,0.06790123456790123,0.917004048582996
ridge,6,train,325049,0.9455332689919487,0.9608708942974891,0.0395201078449614,0.010799766813103089,4.4989526494180074e-14,-0.10688348764482569,4.0,0.9427298759147311,0.08294645620550913,0.8686602169451774,0.8372541457770921,0.06382061233290211,0.7920466982852974
ridge,6,validation,78624,0.9326401292885413,0.9026501354232874,0.039080726064084234,0.01213667853757096,3.149264404711801,0.019673407480523375,134.83333333333334,0.8944128787878788,0.0671604938271605,0.8403024911032029,0.31309904153354634,0.2631578947368421,0.28160919540229884
ridge,6,test,210528,0.874850319393591,0.7955460808865031,0.039914674339680614,0.013626659420446937,19.058554609594772,0.3502190854158562,9.5,0.9587741700109449,0.11005756857433119,0.8571428571428571,0.8741865509761388,0.15336134453781514,0.7546816479400749
ridge,24,train,325049,0.8079536981706803,0.8568190505258197,0.07420880533209617,0.026494529141229677,2.598026172159247e-15,-1.0470259445820211,47.333333333333336,0.7862975925336727,0.14810984717913364,0.6917335323754432,0.5379868877747782,0.21230942970073405,0.4698551700909397
ridge,24,validation,78624,0.5600748336282372,0.6547446714687044,0.09987376101435778,0.03338200485511268,19.086462018455112,-0.0818700855861354,180.33333333333334,0.5866477272727273,0.24954572986069049,0.4908874801901743,0.12460063897763578,0.7328767123287672,0.09285714285714286
ridge,24,test,210528,0.47190217722670325,0.24611097463932974,0.08199340240101219,0.03440742966713825,70.29457576645744,-0.9433853318024168,52.166666666666664,0.8522437066763955,0.2531969309462916,0.6611944523068214,0.3774403470715835,0.3807829181494662,0.30633802816901406
random_forest,1,train,325049,0.9987819547478586,0.9979025367718448,0.005909955045828003,0.0007881298081642354,0.09501999282856767,-0.00903333333333034,0.0,0.9959698801569625,0.008865435356200527,0.9871754441290865,0.9911299652911685,0.013814274750575594,0.9775580068467098
random_forest,1,validation,78624,0.9848364946629174,0.9682246220788515,0.018542223239165313,0.0035079600682051196,2.047727183374213,-0.09286406333333308,128.83333333333334,0.9872159090909091,0.04357798165137615,0.9447213411871318,0.6006389776357828,0.020833333333333332,0.5930599369085173
random_forest,1,test,210528,0.9795810271464116,0.9369330921095845,0.016122613460288256,0.0035636131438650832,5.940415243964018,-0.6268115533333334,0.8333333333333334,0.9916089018606348,0.057558945908460474,0.934984520123839,0.96529284164859,0.013303769401330377,0.9528907922912205
random_forest,6,train,325049,0.9904779040872254,0.9904039013830777,0.01652413527299991,0.0026727576657665218,0.5141252518037162,-0.009033333333330784,0.0,0.9875914731148584,0.009888357256778309,0.9779458097038437,0.978789047435403,0.02870264064293915,0.9512743628185907
